rank,date_posted,definition,usage_example,up_votes,down_votes,posted_by,,
156,2019-06-24,,,4,5,big 0unc3,,
157,2017-06-02,SHIT,Feminist is SHIT,4,5,ANTI FEM,,
158,2017-03-24,"A person who believes that, women and men should be equal in all or most aspects.","The gender pay gap is real and needs to be solved! said ButthurtMcWowImaCunt . ""Well ButthurtMcWowImaCunt, you must be a feminist"", said Chris Ray Gun",4,5,Extra.__Chromosomes,,
159,2016-04-21,Some butthurt ugly bitch who hates men for no reason other than she can't get laid,1: Did you see that feminist? 2: How could I miss her?,5,7,Iwilloffendyou,,
160,2016-11-18,"A feminist is a person that supports the idea of a society where women are superior to men. They always make contradicting arguments on crappy YouTube videos and insist that it's equality if women get things for being women, but that taking note of that is misogyny. They believe in not taking any responsibility for anything that they do and instead blame either individual men, or the patriarchy. Feminism is not about equal rights, that would be egalitarianism. Why else would ""Femin-"" be in the title? They still think they don't have equal RIGHTS to men; They don't... they have MORE.","Samantha is a feminist. Dude stay away from her, if you look at her she will sue you for rape.",5,7,CommonSense717,,
161,2016-06-21,,,5,7,Vape Lord Nord,,
162,2016-08-07,,,5,7,avjvel3jfi3fq3,,
163,2011-09-02,,,148,417,cabby1234,,
164,2009-06-03,,,1297,4263,Kathryn F. Clarenbach/ E.C.,,
165,2016-12-07,,,9,18,jmc24,,
166,2010-10-26,,,1315,4603,Hit Girl 222,,
167,2017-02-21,,,4,6,Murican1775,,
168,2017-07-30,,,4,6,Frog dodger,,
169,2016-08-05,,,4,6,Big Daddy Lmao,,
170,2018-05-17,,,2,2,FunkyWatchdog1983,,
171,2018-07-05,,,2,2,William hb,,
172,2019-08-03,,,2,2,Braydon.,,
173,2019-11-10,,,2,2,Dkskakskdkskisnejfudr,,
174,2018-02-02,,,2,2,koooo-hana,,
175,2018-12-02,,,2,2,This_isweird,,
176,2019-08-27,,,2,2,NUNEI,,
177,2019-01-11,,,2,2,burgundyhoodie,,
178,2019-11-07,,,2,2,Unknown master666,,
179,2018-01-29,,,2,2,big nig 420,,
180,2017-10-10,,,2,2,Dick Quivers,,
181,2018-01-09,,,2,2,Lord tachanka 420,,
182,2018-01-01,,,2,2,dancing violinist,,
183,2017-06-26,,,2,2,BoomDickhead,,
184,2018-12-08,,,2,2,KingAnonymous,,
185,2019-03-12,"A person who believes in the social, political and economic equality of a sexes.","I just explained the word ""feminist"". Think there is no example needed.",2,2,"Beyoncé, Nicki Minaj, Rihanna",,
186,2019-01-21,"Whatever the other fucking offensive definitions were written for this word here, they are wrong. A feminist is anyone, not just a girl, who stands up for women's rights. We do not belive that women should have more power or are superior to men; we belive that everyone, no matter they're gender, deserves to be treated fairly.","Sexist asshole: ""Feminists are stupid lesbians who want power over men."" Real feminists: ""WRONG we belive in women's and humans rights equally!""",2,2,skskjksksjk,,
187,2017-09-12,"Someone who hides behind the word ""equality"" in order to push the narrative that women are still oppressed and gain sympathy points.",A: I'm a feminist because just yesterday I lost a job position to a man. That's sexism. B: LOL. You lost the position to him because he has 20 years of experience while you have none.,2,2,rebelliousteenager72,,
188,2018-07-01,"A person who supports the movement of gender equality, both for men and women, in social, political, and societal life. Just because someone is a feminist, does not make them a bitch. They support and advocate for gender equality, and realize the social injustice that men and women face in daily life.","Person 1: ""I hate feminists!"" Person 2: ""Do you even know what they stand for?"" Person 1: ""Yeah they believe that women are superior to men!"" Person 2: ""That is not what feminists stand for. They believe that both men and women face challenges and social injustice. For example women get cat-called, viewed as sex objects, and viewed as the weaker gender, while men are always expected to be hyper-masculine, and often face harder punishments for the same crimes. Person 1: ""Wow I didn't know that!! I'm gonna stop being an asshole now."" Person 2: ""Yeah, that's a good idea.""",2,2,LostInABlackHole,,
189,2019-11-01,1.a retard 2.a libtard 3.go die,Shes such a f**king feminist.,2,2,smolboyslikethiccdaddys,,
190,2018-03-25,Someone with Autism or a similar form of Retardation.,"Josh - ""You're a feminist right"" Taylor - ""Yeah"" Josh - ""Okay, good... good.""",2,2,JuggBoost,,
191,2019-07-23,Most commonly known as a land whale. In which men can not mess with bc they are endangered,Hey look a land whale. Must be a feminist.,2,2,Fangedflight,,
192,2019-03-18,A woman with a name that is either Kathryn or James,John: what's that. Jimmy: that's a feminist,2,2,John360willies,,
193,2018-11-04,"A feminist is a human who believes in the social, political, and economical equality of people. When you think of a feminist you normally think of a woman standing up for women or a woman saying she is worth more than a man. But a feminist doesn't have a certain age, gender, or race. A feminist is a human being who believes that everyone is equal no matter he age, gender, or race.","Oh look at that annoying feminist. ""no. Look at that strong human standing up for what's right.""",2,2,Priorboys,,
194,2018-03-08,A orange fish that swims in the ocean.,"Oh look at that orange fish, must be a feminist",2,2,Loser b 123,,
195,2019-04-12,"a group of mentally ill people that seem to get triggered over small irreverent things like the AC, ""manspreading"" they also have to hate men, typically 300 LB over waite odd color dyed hair. they also tend to make public scenes take gender studies class and make false rape and sexual harassment allegations for simply disliking someone are to get out of a problem.",ug she a feminist best watch out there going to accuse you of rape for looking at them,2,2,the one and only nakedmolerat,,
196,2019-03-22,"A wild species of the Homo-Erectus. One of the last of its kind, It tends to be very offended by ANY remarks to its structure or joking about its species. It rivals with the wildly popular species of ""men"" and will use anything that is in their nature against them. They travel in packs for protection and will, once a year, migrate while screaming something like ""WAGE GAP!"" or some shit like that, This is called the ""Feminist March"". Standing Identifications: Glasses someone with a name like ""Vicky"" would wear, Dark-Red hair (Often short hair), Offended easily, Especially towards a men, Outcasting anyone who is not like them.","Feminists are just peole who get paid less than others for the same amount of work. Like, Equal pay should be a thing nowadays in 2019! - Feminist claiming they should get paid for not showing up to their job.",2,2,Robert Bumaro,,
197,2019-08-24,,,2,2,Someone Who Did Research,,
198,2019-03-14,,,2,2,420feminist,,
199,2018-02-25,,,2,2,RyanG123456,,
200,2018-09-28,,,2,2,toastybean45,,
201,2018-04-22,,,2,2,Getoutof Myuterus,,
202,2018-01-12,,,2,2,Nice truths,,
203,2018-04-21,,,2,2,momnamedmedeathruinandpoverty,,
204,2019-06-12,,,2,2,Lanamae,,
205,2017-10-08,,,2,2,Progressivism=communism,,
206,2018-02-22,,,2,2,ShitTalker64,,
207,2017-12-28,,,2,2,TheSmartIdiot2,,
208,2017-09-20,,,2,2,nphilip,,
209,2017-12-03,,,2,2,very sad man,,
210,2019-10-09,,,3,4,You're a Gabe Itch.,,
211,2018-05-24,,,3,4,WhyTheFuckAreTheFeministRising,,
212,2019-06-10,,,3,4,banana cumstain pussy bitch,,
213,2018-03-24,,,3,4,Bradchadfrat69,,
214,2006-11-08,,,130,430,GAH!,,
215,2010-03-14,,,127,432,your best idiot,,
216,2016-07-26,,,4,7,Xxtiti_ramirezxX,,
217,2017-12-12,,,24,76,Feministsarebetterthenu,,
218,2010-02-09,,,2072,9027,The Happy Humanist,,
219,2017-02-14,,,3,5,VaTeuton,,
220,2018-01-23,,,3,5,HaloMaster2727,,
221,2018-08-09,,,3,5,Woman have no rights,,
222,2017-08-31,,,3,5,cishethispanicamericanmale,,
223,2017-08-06,,,3,5,jackspedicey 2,,
224,2019-07-31,,,3,5,Logical Xenomorph2,,
225,2019-07-17,,,3,5,AfricanVioletCreature,,
226,2019-09-26,,,3,5,Toejam Sr.,,
227,2019-09-26,,,3,5,Toejam Sr.,,
228,2019-07-05,,,3,5,Toejam Sr.,,
229,2019-12-03,,,3,5,Thepersonwhomadethat,,
230,2017-08-17,,,3,5,123humor,,
231,2017-03-06,,,4,8,FarziikYT,,
232,2010-01-17,,,1923,8878,The Happy Humanist,,
233,2018-01-01,,,2,3,goerz,,
234,2019-09-06,,,2,3,Magicmanlemon37,,
235,2019-05-01,,,2,3,captain buddy,,
236,2017-09-28,,,2,3,Ye Old Bucktooth,,
237,2019-01-17,,,2,3,zadz,,
238,2019-01-08,,,2,3,Pussynigalips,,
239,2019-01-03,,,2,3,NepNep Vasilias,,
240,2010-04-28,,,1767,8783,The Happy Humanist,,
241,2016-08-06,,,4,9,The Infidel of America,,
242,2010-02-08,,,1776,8926,The Happy Humanist,,
243,2017-05-13,,,3,6,Body Positive Feminist,,
244,2016-05-18,,,3,6,TrustMe Johnson,,
245,2017-08-04,,,3,6,Mr Fink-Rat,,
246,2007-10-08,,,782,4145,the birds and trees,,
247,2018-02-27,,,1,1,letsmakethissh*tholenotone,,
248,2020-05-04,,,1,1,Thisislaw,,
249,2018-04-12,,,1,1,PattyCakesAyy,,
250,2020-05-06,,,1,1,FabulousKhadi,,
251,2018-03-12,,,1,1,Jane Whitman,,
252,2018-03-16,,,1,1,Starlight Willow,,
253,2018-04-04,,,1,1,aksepterer,,
254,2019-07-22,,,1,1,Somechilldude,,
255,2019-10-02,,,1,1,Shehoey,,
256,2019-06-11,,,1,1,birthday_cake,,
257,2018-04-20,,,1,1,"YouTube name is ""SH room""",,
258,2020-02-22,,,1,1,DontKnowIf_ImGinger,,
259,2018-07-20,,,1,1,Equalrightsboiiiii,,
260,2019-10-05,,,1,1,feminist:)),,
261,2019-10-31,,,1,1,Creator_of_ Niat,,
262,2020-04-23,,,1,1,Nico_Da_Freako,,
263,2018-10-28,,,1,1,milkymelk,,
264,2018-04-25,,,1,1,FuckenFeminists,,
265,2018-07-09,,,1,1,Jazzykinsg,,
266,2018-08-25,,,1,1,why is this world so bad,,
267,2020-03-10,,,1,1,Fuck face unstoppable,,
268,2019-02-26,,,1,1,Soundos,,
269,2018-03-31,,,1,1,Slytherintz,,
270,2018-03-16,,,1,1,Common.woman,,
271,2018-04-29,,,1,1,Raven Song,,
272,2018-02-13,,,1,1,💁‍♀️,,
273,2019-07-28,,,1,1,le oomf,,
274,2017-11-03,,,1,1,Sople12234688,,
275,2020-06-23,,,1,1,Dan the anti-feminist,,
276,2020-06-28,,,1,1,Marah1234,,
277,2019-10-16,,,1,1,TheLonelyBanana99,,
278,2019-06-23,,,1,1,AnonymouseMan345678987654321,,
279,2018-08-16,a man or woman who believes in gender equality.,"this is the only non hateful,non misogynistic,non sexist definition of feminist you will find on the urban dictionary.",1,1,free inhabitants are dumb AF,,
280,2017-09-08,A bitch,Yo this feminist is such a bitch,1,1,Thememelord123,,
281,2018-11-19,"FEMINISM WAS NOT CREATED TO BE AND IS NOT ANTI MAN. At the very beginning of feminism you find the suffragette movement. Women wanting the right to vote. Then there was the Feminist movement in the 60's and 70's it was mainly about equal work and pay for women (which women still don't have. Go look at some unbiased data it's clear.) None of these movements were looking to take away a mans right to vote, or his job, or take away from their pay check. It was simply giving women the same benefits that men were given. To this day they are not looking to take away any of a mans rights or privileges(and the fact that now this word is mostly associated with negativity about men just makes it clear what fucking happened.) The only reason ""feminist"" has become a ""bad word"" is because men have misinterpreted it. The radical feminists that hate men are literally 1 out of 500 maybe. People have taken those radical women who identify as feminists and made the whole feminist movement anti man. Yes, I know women and men are very different physically,but even if we go from that point of view it still doesn't explain everything. If women are more nurturing why are there more men doctors then women. If women are better at teaching why are there more men professors than women. Men have higher paying jobs in all these fields no matter what body you have. It has nothing to do with who is more naturally fit for the job and has more to do with the bias our world still has toward women.",Hello I'm a feminist I believe in the equality of men and women. Have you learned about the feminist movement in history class yet?,1,1,Duckmeintheass,,
282,2020-05-29,A person (of any gender) who believes that EVERYONE should have equal rights. Someone who stands up for ALL genders. And DOESNT HATE ALL MEN.,"Derek: ""yo that Karen over there is a feminist"" Jake: "" G how do you know?"" Derek: ""she hates all men."" Jake: ""nah mate that ain't what a feminist is. If a 'feminist' says she hates all men then she ain't a feminist bro. Feminism is about equality"" Derek: ""oh shit bro my bad""",1,1,Wagwan_babes,,
283,2018-06-02,stupid woman who uses everything she possibly can against men and not having equal rights. (feminism is gay by the way),That stupid whore complaining about women rights is such a feminist,1,1,feminist hater69,,
284,2018-01-19,cancer,oi you hear that my sisters a feminist we just shoved her into a bin and nicked some bare pennies,1,1,bare_pennies,,
285,2018-01-10,"A reasonable human who has an opinion and gets a bad rep for its extremist cousin, the feminazi.","Lol jk fuck feminists ""DOWN WITH MEN! DOWN WITH MEN!"" ""OH SHIT A FEMINIST! GET DOWN MEN! @ @@@@@@@@@@@@@@@@@@@@@@@@@@@@""",1,1,Is_ass_kosher?,,
286,2018-12-28,"a nazi, but instead of hating Jews, the feminists hate men, all of them, because all men are *EVIL* (I'm not saying all men are evil, if you cant tell its sarcasm)","bitch 1: wow that man said hi to a woman, fucking women oppressing cunt! normal human: wow that woman is definitely functionally retarded but also a feminist",1,1,Anti feminism,,
287,2019-04-30,A feminist is a lesbian a girl who likes pusssy,Ariella is such a feminist she loves pussy,1,1,Tito Tyrone,,
288,2018-09-30,"Somebody who wants equality for all genders. Often confused with radical feminists, or feminazis, who are massive fucking idiots who think all men are shitbags and honestly go against all ideals of feminism. Seriously, shut up.","I am a feminist. ""Good for you bro! Same!#",1,1,Procrastination 101,,
289,2020-06-21,"Women who take blame and shame men for doing things the wrong way,they are brainless idiots who argue about men making mistakes,and using these mistakes to fault them and ruin there perfectly good lives","Hey did you know judys a feminist?"" No."" Lets check her out."" Okay."" In judys home. Get OUT OF HERE YOU SHAMELESS SICK PATHETIC BASTARDS",1,1,Im_really_really_bored,,
290,2018-02-03,Someone with autism or similar form of retardation,What a poor feminist.... Let's go break her legs,1,1,Random Whitness,,
291,2018-01-11,A person of no particular gender whom believes in equality amongst all people.,The word feminist is highly misconstrued.,1,1,Angela Rain,,
292,2018-05-28,someone who believes in equality between the genders. Thats is thats all we fight for.,He's a feminist because he believes men and women are equal.,1,1,jimmy_22,,
293,2019-12-14,"Usually a woman, but could also be a man, who advocated for men's and women's rights for gender equality. A few people would say we are both already equal, but's that's a lie, as we are treated differently. They don't just advocate for equality. It includes LGBTQ+, abortion, global warming, racism, sexism, disabilities, and more. Feminists also have to fight the stereotype that some people believe that they hate men, although they don't. If a woman hates men and calls herself a feminist, she's not a feminist. She's just sexist.",Stacy is a feminist so she protests in many marches for equality,1,1,equality definitions,,
294,2020-09-22,"A female who tries to tell you that females have historically faced more atrocities than males is plain full of shit, and has her own interests and self promotion in mind, not humanity. A female that thinks males haven't been butchered, beheaded, drawn and quartered, hanged, racked, boiled alive, sawed in half, burned alive, crucified, raped, tortured, or filled mass graves like numbers in the same numbers or many times higher numbers has forgotten history. Saying that males are oppressed, but females have been more oppressed is about the same thing, except it eliminates being held accountable for what she said about females having it worse throughout history (somebody letting her know she's full of shit) and still focusing attention on herself. Males lead violent, atrocious lives and it's never been a big deal, females have been more sheltered from it than any group throughout history, so that when atrocities do happen to females, the world stops to pay attention for some reason. It's rare to find a female child that got ass whoopings throughout her childhood from an authority figure, since nobody is more sheltered by and from the same authority figures and authoritarian values they whine about being unfair to them than females. Females who think their lives or childhoods were harder than their male counterparts because they can have children have forgotten what childhood was like, and have never really given much thought to the matter, they have their own interest in mind.","The girl didn't really have feminist interests, human interests, or any other interests than her own in mind with what she was trying to sell. She just told people she did.",1,1,Toejam Sr.,,
295,2018-03-18,"A person (usually a woman) who pretends to want equality for women, but really just hate men, and only care for the women that agree 100% with them.","When the man breathes the feminist gets mad. When the man sits, the feminist gets mad when the man eats the feminist gets mad.",1,1,Maserati life,,
296,2019-07-26,i creature that came from hell and hates men and wants to kill them,help a feminist is trying to kill me,1,1,attack i pod lemon,,
297,2018-01-22,"Feminists are not man haters. It is not women who refuse to shave. It is not women who only get abortions and don't believe in relationships. We are women who want change not just for ourselves , but for everyone who has been underestimated and held back from equality. It's men and women fighting for gender equality.","He agrees that Olivia deserves to be equal to him, such a feminist he is.",1,1,womenlover101,,
298,2018-04-30,Josh: I'm going to a feminist rally; Amanda: what's feminism? Josh: supporters of equality based on gender,"Feminism is the act of wanting / supporting women. Feminism oppes for equal pay, equal respect, no sexual assault tolerance etc. if you agree in any of these... believe it or not your probably a feminist. Many people believe that feminist are just a bunch of man hating women however they word feminist is misunderstood. They are just people who believe in equality as any other descent person should. Ps: men can be feminist too!! 😋",1,1,Yo-yo lit and savage,,
299,2019-06-09,"A person who believes in the political, economic, and social equality of the sexes.","Karen: ""If you're a feminist then why do you hate men?!"" An intellectual: ""I don't.""",1,1,I couldn’t choose a name,,
300,2017-03-06,A Dumb Bitch.,She is a dumb bitch which is a feminists.,3,7,feminists hater,,
301,2017-02-28,"A person, not always of the female gender, who believes in EQUALITY between men and women. Sadly, a lot of people mistake them for being feminazis, or people ( once again not always girls ) that believe women are better than men, and they deserve to die.",Feminist: I think that men and women should be treated and respected the same. Femanazi: WHAT?!?! BUT MEN ARE PIGS WHO ARE USLESS AND DESERVE TO BURN IN THE PITS OF HELL!!!,3,7,Spicy bleach,,
302,2006-08-18,There are two types of feminist's 1) Someone who believes in equal rights and values for both genders. 2) Someone who believes in equal rights but still want men to do most of the work.,1. She wants equal rights and shares the responsibilitys of men that feminist is awesome. 2.Guy: She talked about equal rights then said i should pay for everything because im the man. Guy2: That was a bitch feminist mate.,94,494,James Haig,,
303,2016-04-07,"A smart person who knows what they're talking about. Feminists believe that all people deserve equal rights and equal treatment. They go against body and weight shaming and believe everyone is beautiful in their own way. Feminists are not just for woman's rights as believed by most people but are for the rights of all races from African American to Spanish, Caucasian, Asian and more. Also feminists respect non binary and binary people's pronouns ((he/she/them/they/it etc.)) . Also feminist are the ones who fight for gay, lesbian, pan, trans and so on's rights BUT that does not automatically mean all feminists are gay or pan or even a woman!! You can be classified as a feminist if you are boy, girl, or neither !!!! That's what's great!",Feminist: I fight for equality not just for woman but for everyone! That's what makes me a feminist!,4,11,Regionalatbest,,
304,2009-02-03,"a woman who, due to being deeply ashamed of her inability to make a good sandwich, tries to rationalize other reasons for having worth.....",Kate thought about killing herself after her husband told her she was crap in the kitchen... but then she just became a feminist instead,82,434,mickyjack,,
305,2017-11-16,"Meny people have different views on this, but this is my view of what a feminist is. A feminist is a person who believes in gender equality plain and simple not that one is better than the other but instead equal to one another.",I am a female and a feminist.,2,4,Edwards929,,
306,2016-10-24,Type of cancer.,She's a feminist because she hate mens,2,4,KILLMEH14,,
307,2018-11-17,"A true feminist is someone who is actively campaigning for men's and women's equality and rights so that both genders are treated the exact same, with respect. Despite popular belief, a feminist IS NOT someone who tries to tear down men and make women superior, nor visa versa. A feminist can be a man or a women. It does not make them less of a person based on their views.","Last week I saw a feminist campaigning for the gender pay cut to be abolished. I am a feminist raising the issue of men and boys being peer pressured into acting hard and showing no emotions, I find this concerning for young men's metal health!",2,4,The meaning,,
308,2016-04-04,"A person, typically a woman, who claims to support equal rights regarding sex and gender but are actually battling each other for the title of 'Most Opressed'. Someone who wishes to get rid of things that offend or trigger them, instead of realizing not everyone is going to be nice to you or have the same views. Feminists often advocate for minorities because they consider themselves to be involved in this group even if they are a wealthy white woman. They chant about respect towards black people, people within the lgbtq community (specifically variations of transgender and/or queer people), and all other races/genders/sexualities. But because of the display in which they show support, they hurt the validity and/or reputation of the groups they try to defend. Especially when they speak of a group they know little to nothing about or have no personal experience with. BUT ITS OKAY BECAUSE WOMEN ARE TOTALLY OPRESSED TOO IN MODERN DAY AMERICA !!",Young misguided feminist: There are so many things I want to do with my life that I can't because I'm oppressed every day by lack of non-sexual female representation in video games and the patriarchy. I'm totally not just limiting myself based on an ideology that has no place in the western world because everyone on tumblr agrees with me !,2,4,nervousyounginhuman,,
309,2018-07-14,The cum shot that should Of been swallowed,Your the cumshot I should of swollowed. Feminist is a crazy bitch that if you say your hugh mungus it will be classified as (sexual assault),2,4,Long schlong,,
310,2019-03-04,"A feminist is a woman who fights for equal rights for bolths genders. Most feminists are not popular in today's culture due to the idea that they are hipacrites or are going against the laws of nature. But that is not true, feminists want are equal pay for both sex's because statistics show for every dollar a man makes a woman earns 75 cents. feminists fight for equal rights because if you ask any girl you know, you daughter wife or mother, they will tell you they have been sexually harassed a least once. That includes being cat called on the street or being physically touched or mocked. Popular opinion often brings feminists down. People tell you feminism is wrong or feminists are sexist against men, it's not true, but what they don't tell you is that females are constantly treated unjustly due to there sex. People will try to keep that part hidden because they know it's wrong to be unjust against woman but they do it anyway. There is nothing wrong with wanting equal rights but people will blow it way out of proportion saying females and sometimes men will become feminists because they are weak, or peer pressure. it's not true. All feminists want are to be equally treated threw the good and the bad things. Feminists know that not every male is bad or did something, but feminists aren't fighting against men, they are fighting for equal rights. Feminism is about giving equal choice. It's about liberation and equality.","I did t know Sara was a feminist, that's great!!!!",2,4,Ollie08,,
311,2010-06-22,One who needs to stfu and go make me a sandwich,Feminist: RESPECT ME! Real Man: HAHAHAHA,78,428,Da Man Joe,,
312,2004-08-31,"1) n. A person who supports female equality. Few understand that by helping some sexist men without anger towards them, leads to a better society. The person with this attitude has the right idea. 2) adj. Has potential to be a bitch; The slightly less intellegent sister of the feminist who refuses to shave, wants pure equality and yet still expects the male to pay for her meals, open doors, etc... More than often ""feminazis"" are found at colleges harrasing men, and/or not shaving to completely destroy diversity. Many Women get confused on the matter and point out nearly ever male as a threat to the female, and constantly believe all they want is sex, without realizing the natural behavior some men go through. See bitch","The feminists were aiding the help of one confused man who was naturally too horny for society, while the feminazis bitched and complained over made up inequalities on campus.
",103,588,Job White,,
313,2006-08-28,"there are two types of femanists 1. a woman who believes in equal opportunity for men and women to thrive in the workplace and for other such good causes as right to choose and stopping domestic violence. they realize that women have come a long way in the past 30 years, and that now it is their job to wipe out such blemishes as wife-beating lowlife scum, or sister-fucking, Jesus-sucking rednecks who think that all we need to do is fuck to procreate, and then die. these are the good type of feminists. they dont need to belong to a femi-religious cult to be feminists, just donate a couple of bucks here and there. 2. the crazy assed feminazi cunt-dykes who have been done wrong by men, and can't seem to get out of the seventies. their visions of equality is a female dominated world in which men are used for fucking and lifting. they whine that men have better jobs than them just cuz there husband can't perform good enough in bed. they think that housewifes are man dominated scum that need to be liberated, not that a housewife is just as important to a family as a working mom and that when a woman wants to feel sexy, she should not be permitted to do so. they are not for female rights as much as they are for there woman dominated world","feminist #1: i feel feminism is a woman's right to choose, and if a woman wants to be a housewife, let her! Feminist #2: Housewifes are just man robots, and need to be freed, lets get out the bra burning machine again! were taking this shit '76 style!",91,527,12345432112345,,
314,2008-11-30,"far too often mistaken for the angry ignorant women that think they are superior to men and join clubs to complain. this is DUMB, and shameful. A true feminist takes on this title in an individualistic method. Sexism is a very interesting concept, and can NOT be blamed on men for it is the outcome of an unfair history. Things have come VERY far, and this is something to be very happy about. Modern sexism should be thought about in depth before any man or woman decides to become a feminist. The modern feminist believes in equality, which is OBVIOUS, but mainly respect. Woman are far too often not taken as seriously as men,(by both sexes), and examples of this can be found countless times in everyday life if you look for it. If you want to be feminist, don't be annoying, and PLEASE DO NOT say your feminist and then expect guys to carry your stuff/give you their coat/pay for everything/etc. It's hypocritical. Just respect yourself and expect respect from others as a human being, not an object, and not a hysterical emotional monster.","BAD feminist: ""BLAH BLAH WHINE BALH MEN SUCK! BLAH 75% OF PAY BLAH...pay for my dinner!"" GOOD feminist:""_______."" (doesn't have to say anything. Understands prejudices, and fights them by living his or her life without them.)",83,487,Himag,,
315,2009-03-16,A woman who doesn't shave her armpits.,My girlfriend is turning into a feminist!,68,416,ramifromsomewhere2,,
316,2017-08-01,someone who is mentally retarded,look at that feminist; god she is a feminist,2,5,Weedankers,,
317,2011-07-24,"A word that you'll get ten different definitions for if you ask ten different people to define it. Most likely, each person will be 100% sure theirs is the ""one true definition,"" and that all all other definitions are false.",Marcie: Vicky asked me whether or not I'm a feminist. Kyle: What did you say? Marcie: I asked her which definition of feminist she was using. There are millions of them.,60,409,Simple_As_Sun,,
318,2008-09-25,A girl who doesn't give blowjobs,That chick is such a feminist. She wouldn't even blow me a little before we banged.,85,653,ibman67,,
319,2017-10-02,a feminist is a person who hates men.,"boy ""did you hear the feminist"" girl ""no""",3,11,aragorn son of arathorn,,
320,2017-08-28,satans spawn,this person is a feminist,2,6,Feminist_killer,,
321,2016-02-04,An angry female with low self esteem and hairy legs who believes men to be superior and desires equality.,"Elizabeth hates men, razors and humour and is indeed a feminist.",2,6,MCRR,,
322,2013-11-03,someone who believes the radical notion that women are people.,"if you believe that women and men should have equal rights, you are a feminist. there's nothing ""extreme"" about it.",38,288,wolf15668,,
323,2018-09-26,A dumbass,"I'm a feminist and I'm proud! ""Yeah but you're also retarded...""",1,2,BigMancini,,
324,2017-07-18,"A person that fights for female rights; fem = female; ist = rights activist 2. used for females that ruin the reputation of the word, these females can fit in the following stereotypes * hates men * gets TRIGGERED over small things. * hates white people * calls white males CIS white SCUM","1. I fight for female rights so I consider myself a feminist 2. feminist: whats your name? guy: Hugh Mungus. feminist (TRIGGERED) SEXUAL ABUSE! youtuber commenting: look at that feminist, being triggered.",1,2,goanna678,,
325,2017-12-27,A feminist is a any body who believes in equality for all sexes,Being a feminist gives you a better outlook on life.,1,2,Candy121,,
326,2017-11-05,"Used to describe someone who is a radical leftist by someone who has a large lack of understanding of what leftism or politics is in general, usually 12-15 years old.",My English teacher gave us a lecture on white male privilege today. She's such a feminist!,1,2,bigheadu,,
327,2018-04-18,"A person who believes in equality for both men and women. Usually a women. Men will usually say that a feminist is someone who is a lesbian with short hair and low standards m, but reality is that men can also be femisnist. A feminist believes no gender is more superior than another","Uncultured Swine- look at Sally over there, she's such a feminist; Random Guy- she literally just wants equality pay, dude.",1,2,ImaGayyWooo,,
328,2019-01-05,Although many seem to believe that feminists are insane men haters that is simply not true. Feminists are people (men included) who believe women should be treated as equals. The crazy men haters people speak of are sexist women.,I am a feminist and there's nothing wrong with that.,1,2,Evil is a social construct,,
329,2020-02-22,Depends on the context. usually feminism means that women want to be better then men. However the real meaning is that both women and men wanna be equal,Ooh look a feminist is spouting nonsensical things about men; Look there is a feminist parade. Lets join in because everyone wants gender equality,1,2,A male human,,
330,2019-01-02,"a person, regardless of gender or sex, who believes in and supports equal rights for people of all genders. despite the widespread idea that feminism is about women's rights, it is really about equity as opposed to equality. Therefore, all people can be feminists by supporting rights and bringing people to an equal level.",both men and women can be proud feminists and know that they are doing good for the world and themselves,2,8,Heather and Liz,,
331,2017-02-05,"A person who sees women and men as equals (which is good), BUT a small percent of feminists are creations made by satan who are here to torture our existence and drive the human race mad.","Me: I play in a men's soccer league. Satan's creation: how dare YOU, you sexist peace of crap! Women's rights is a big problem in America and you should never... Me: (Why me god, why did you have to send a feminist to me.)",2,9,smartasian32,,
332,2018-05-17,Feminist is woman who knows she's better than a man. Feminism is a quality that only superior women possess. Anyone who understands that women are superior to men possess that special quality and therefore can be classified as feminist.,She's too good for you - she's a feminist; She doesn't give a fuck - she's a feminist,2,9,Boppin Bitch,,
333,2018-02-03,"Someone who believes that both genders should be equal. That's it. Feminists do not think they are better than men. That is a misandrist. Feminists believe that men and women have their own obstacles, some that are limited to gender. For example, it is a common misconception that guys cannot be raped. They can. It is also recognising the fact that women do get payed less because of their natural role in nature (pregnancy)which can often be interpretted as weakness. This is not right. Feminists are men and women who believe that one shouldn't be judged by their gender and that everyone, regardless of their gender can be themselves, be safe and express their emotions and opinions as they please. Misandry is not a characteristic of a feminist. It is another branch of sexism which feminism is against. The lie that all feminists are women trying to oppress men needs to stop. A feminist is a believer that men are just as valuable as women in society and vice versa. Nothing more.",I am a feminist because I want every gender to be equal.,1,3,Anonymous_626,,
334,2020-01-08,Generally a good hearted person believing in gender equality. Not to be confused with feminazi,Man: ah I see you are a feminist as well unlike this stupid feminazis,1,3,The_real_Napalm,,
335,2017-06-18,A member of a political movement for the advocation and advancement of women's rights and privileges.,"A Feminist march was started yesterday, protesting the lack of women in high level politics and business.",1,3,Lunacorva,,
